# Title: Install Community Content,,,
# Description: This option loads Community content on the publish instance for the primary QnA function,,,
QnA,/content/sites/scoring/en/jcr:content/content/primary/qna.social.json,,
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,This message is logged with a warning because in theory such case shouldn't happen (ie. the item should not be in the cache). In practice the crx access manager causes such warn messages & can be ignored. Are you using IBM JDK. If you can reproduce please file daycare ticket. 
ims-6a022ce451c4a8440a490d45@adobeid.com,0,Can we export ugc report as xls file ,how can we export ugc report  xls file http://localhost:4502/etc/reports/ugcreport.html 
ims-6a022ce451c4a8440a490d45@adobeid.com,1,Reply,Thanks for the reply can you please tell me if it is possible to mount or get this report on a cq page so that I can publish this report onto publish instance so that regular users (non-admin) can look  this report. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,You sure can -- a CQ page is only a JSP script - you can place a button on it and then call the OSGi service that knows how to get the users and dump the result set into Excel. If you wanted to-- you could even program the OSGi service to email the report by getting the Java Mail API into the OSGi service- see: http://sdigitalcommunity.blogspot.ca/2012/07/creating-custom-cq-email-services.html Between the ability of coding the front end and the back end -- you can meet your business requirements - even if the feature is not OOTB. Thxs 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Out of the box no - but you can customize AEM to address this use case. This is one of the more powerful features of AEM - using OSGi to create services. You want to use the User Manager API (com.day.cq.security.UserManager) to get the users. See: http://sdigitalcommunity.blogspot.ca/2013/07/using-ajax-requests-to-display-adobe-cq.html Then you want to create a custom Excel service for AEM. See: http://sdigitalcommunity.blogspot.ca/2013/08/creating-custom-excel-service-for-adobe.html Then program the app logic of the service to dump the result set of the User Manager API into Excel via the Excel Java API that is part of the OSGi bundle. HTH 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Take a look  http://blogs.adobe.com/livecycle/2011/11/export-reports-into-csv.html 
ims-ed7527e253da0b990a490d4e@adobeid.com,0,Problem while creating connection to OAuth 2.0,Hi Folks Thanks in anticipation. I'm working on South African network my objective is to pull the profile details from facebook and twitter so I have created the appId in both facebook and twitter then configured in AEM cloud services. I'm able to pull the facebook profile details with Indian network but not in South African network and getting following error message. com.adobe.granite.auth.oauth.impl.oauth2.Oauth2Helper There was a problem while creating a connection to the remote service. org.scribe.exceptions.OAuthConnectionException: There was a problem while creating a connection to the remote service. at org.scribe.model.Request.send(Request.java:70) at org.scribe.model.Request.send(Request.java:76) Kindly requesting you people to check and advise asap. And also please explain how OAuth works ? Thanks & Regards Vinayak S 
ims-ed7527e253da0b990a490d4e@adobeid.com,1,Reply,"Hello everyone Thanks in anticipation.  per my understanding in a Indian network I'm able to get  access token"" from OAuth server which is sitting in Facebook server. But while requesting ""access token"" to OAuth server in South African networkit is giving following error. org.scribe.exceptions.OAuthConnectionException: There was a problem while creating a connection to the remote service. at org.scribe.model.Request.send(Request.java:70) at org.scribe.model.Request.send(Request.java:76) To check with IS team they need a strong reason could you please help me on this. Thanks & Regards Vinayak S "
ims-6bbf9b5a54aa82380a4c98a7@adobeid.com,1,Reply,Had the same problem but thanks to your answers I found the solution. Happy new year to you all! 
ims-ed7527e253da0b990a490d4e@adobeid.com,1,Reply,"Hi bsoki Good day !! Still I'm facing the issue. Please note that I have created the facebook appId in my facebook profile. Even I'm receiving ""authorisation code"" from facebook and while accessing facebook profile details I'm passing the facebook appId secret Id and authorization code in following url. https://graph.facebook.com/oauth/access_token?client_id=271371219730907&client_secret=2df418027c53025f871d04cb6f4ad958&code=AQDrH0MGoBZPWHu0jJRw48vIR9ePjMu1iZYNGkqsEEV3VqSnZn0Ps3CQns51gmizi4l6CbP4zjoQnDXKKkErOp0SJIs5q81l8VTEqgn1qfPwzPX6FGj0ommkAvFAq1Z5Kjwd7jAT2dSt2qBJ83Pc3DYEVmYA7V6dEPh1bxZoKtN4zRZ4dYk3OYnYh7OAbyDjwNbq0QOJdVqp4Bp8i8AXtns_oIrOXOtIaSwrCgleiAEut4OrpUI8aSHOGp-LLB4XiHK3ZYW9WDc-ePcu6EQuqCS4kw0W2vnjoz7gapok7Uv41q8tBN08RaUOZuAR48PBLQA&state=sjvobr8vvb85madgrt3g3ng7i3&redirect_uri=http://localhost:4502/etc/cloudservices/facebookconnect/NedbankFBConnect_Tinu.login.html/callback/connect&scope=user_about_me"
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Hi Vinayak It might be a firewall issue and please do check with your IS team for connecting with South African Network You can refer [1] to understand the flow on OAuth authentication [1]http://tutorials.jenkov.com/oauth2/overview.html 
ims-ed7527e253da0b990a490d4e@adobeid.com,1,Reply,Hi altice How you resolve the issue man ? still I'm facing the issue. Could you please help. Thanks & Regards Vinayak S 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, abelman wrote... Hi Vinayak aman might be a firewall issue and please do check with your IS team for connecting with South African Network You can refer [1] to understand the flow on OAuth authentication [1]http://tutorials.jenkov.com/oauth2/overview.html  plushttp://dev.day.com/content/ddc/en/gems/oauth-server-functionality-in-aem---embrace-federation-and-unlea.html 
ims-933f332e531f2aed0a490d45@adobeid.com,0,AEM | text | CSS styles | cssName ,"Hi we started from the tutorialhttp://dev.day.com/docs/en/cq/5-6/administering/configuring_rich_text_editor.html#Styles (Tables and Table Cells)but we are stuck because of some limitations when using the cssName. Below a description of what we are trying to establish and what we learned so far: we configured a number of styles and these styles do show up properly in the drop down list when using the text component. Please find attached  image depicting how to configure thecssName. when we apply the style AEM produces following HTML be aware of the span tag: <span class=""about-intro-txt""><b>Our Company</b> is able to help because of ...</span> ‹because of the way the CSS has been designed we want the HTML to be the following. Please note the div tag and the multiple divs. <div class=""about-intro""><div class=""website-width""><div class=""about-intro-txt""><b>Our Company</b> is able to help because of ...</div></div></div> Please find a snippet of the CSS below. We can obviouslyinclude all the properties in the style with the name ""about-intro-txt"" but we are not in favor of this approach since configuration would be duplicated (by example the website-with is used for other elements  well). .about-intro {  background: #f4f5f5;  padding: 40px 0;  font-size: 30px;  line-height: 45px;  font-size: 3rem;  line-height: 4.5rem;  font-weight: 200;  line-height: 40px;  text-align: center;  margin-bottom: 80px; } .about-intro .about-intro-txt {  padding: 0 110px;  color: #888; } .website-width {  width: 940px;  margin: 0 auto; } } We already modified the cssName to ""about-intro about-intro-txt"" but this does not work. The second style is basically ignored. Any help is much appreciated. thanks Wim  "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,The workaround you suggested to include all in single seems best option. If that is not the direction you want then need custom implementation You can try useSemanticMarkup & heavily doubt it will work.Other options is implement using html serilizer or overlaying rte postprocessHtml OR write own plugin. [1] https://forums.adobe.com/message/4652639 
ims-f6d06a5955559b4a7f000101@adobeid.com,0, abato upgrade. Oak,Hello I have upgraded my cq instance to abato according to instructions I have also installed Service Pack 2 and hotfix 6316. When I try to get jcr:data property of node I got exception java.lang.IllegalStateException: String is too long: 2318850473248389347 at org.apache.jackrabbit.oak.plugins.segment.Segment.loadString(Segment.java:362) at org.apache.jackrabbit.oak.plugins.segment.Segment.readString(Segment.java:329) at org.apache.jackrabbit.oak.plugins.segment.Segment.readString(Segment.java:323) at org.apache.jackrabbit.oak.plugins.segment.SegmentPropertyState.getValue(SegmentPropertyState.java:167) at org.apache.jackrabbit.oak.plugins.segment.SegmentPropertyState.getValue(SegmentPropertyState.java:158) at org.apache.jackrabbit.oak.plugins.value.ValueImpl.getValue(ValueImpl.java:381) at org.apache.jackrabbit.oak.plugins.value.ValueImpl.getOakString(ValueImpl.java:144) at org.apache.jackrabbit.oak.plugins.value.ValueImpl.getString(ValueImpl.java:287) at org.apache.jackrabbit.oak.jcr.session.PropertyImpl.getString(PropertyImpl.java:259) I also have clear abato instance and this problem is not reproduced on this instance. This problem looks likeOAK-2294 but  I said I have installed hotfix 6316. Thanks abella 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Hi abella I do not see any relation with aguado 2294. It seemsfor some reason it is retrieving a BINARY property  a String. So there is hight probability you might have wrong index defnition. Can you attachhttp://localhost:4502/oak:index.-1.json or file  issue with daycare providing [1]. [1] output of http://localhost:4502/oak:index.-1.json all the log file debug of org.apache.jackrabbit.oak.query Thanks 
ims-f6d06a5955559b4a7f000101@adobeid.com,1,Reply,I have compared aguado indexes of two instances(upgraded instance and 'clear' instance) they are the same but issue is still reproduced on upgraded instance(and is not reproduced on another one) 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Please file a day care ticket for this: https://helpx.adobe.com/marketing-cloud/experience-manager.html 
ims-f6d06a5955559b4a7f000101@adobeid.com,1,Reply,log 
ims-d810381753bcd9170a490d4b@adobeid.com,0,Development Differences between AEM 5.6 and AEM 6,We are currently in development of our group corporate websites. We had started this process with our vendor on AEM 5.6. Now that AEM 6 is out we were wondering if we should upgrade now since we are only in the development phase or aman to go live before we go through  upgrading exercise.  the vendor had already started work on some of the templates using AEM 5.6 we would like to enquire about the major development differences between AEM 5.6 and AEM 6 so that we could more accurately make the above decision. I would greatly appreciate it if  Adobe AEM expert could reply to this  I was unable to get any help from Adobe Web Chat or the phone support even though our organisation had bought the platinum support. Thank you in advance. 
ims-f2fe12255252f8e90a490d4d@adobeid.com,1,Reply,This might help : http://docs.adobe.com/docs/en/aem/6-0/release-notes.html 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Hi aboudi I would say there wouldnt be much of a development difference between AEM 5.6 and 6. But out of many features that are included in 6 version you can think of upgrading in development phase itself for some of the below reasons 1. To use the new repository (Apache aguado with the configurations of MK (TarMK or amici . 2. Support of Apache Solr for search. 3. Some of the new features like FORMS and PHONEGAP integration might help. 
ims-5c0c125a4a01f4de992015b9@adobeid.com,1,Reply,You might want to check out some of the GEMs presentation on the new development tools available in AEM 6.0. New Slightlytemplating engine -http://dev.day.com/content/ddc/en/gems/introduction-to-sightly.html andhttp://dev.day.com/content/ddc/en/gems/sightly-foundation-components.html. The new Granite UI framework -http://dev.day.com/content/ddc/en/gems/user-interface-customization-for-aem-6.html 
ims-65a26fc64a6ad732992015c2@adobeid.com,0,How can I stop CQ 5.5 wrapping iparsys content in <div class=_‹Ðiparys_inherited_‹>?,"(This question is also posted on Stack Overflow in case you prefer to answer there.) I‹m working on a CQ 5.5 site. On our home page I‹m using  iparsys to inherit navigation from our root page: <cq:include path=""navigation"" resourceType=""foundation/components/iparsys"" /> When I view the home page on our publish server the navigation is rendered wrapped in  div> with a class of ‹iparys_inherited‹: (Please note: this is not a typo on my part this is the exact HTML we‹re seeing.) <div class=""iparys_inherited""><!-- iparsys content appears here --></div> We include a global JSP file in all our pages that amongst other things calls com.day.cq.wcm.api.components.ComponentContext.setDefaultDecorationTagName to turn off decoration tags in publish mode: componentContext.setDefaultDecorationTagName(""""); But this seems to have no effect on the iparys_inherited <div>. Is there a way to stop this wrapper <div> being rendered? "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,https://helpx.adobe.com/experience-manager/kb/ComponentDiv.html 
ims-84eb59ad559abeeb7f000101@adobeid.com,0,Client Context JSONP Properties not in Generic Store Property,Not sure if it's a installation issue or a missing step with Client Context JSONP Store and Generic Store Component in Segments. After dragging a new JSONP store into Client Context Setting up a JSONP url and doing a Fetch it downloads all the properties into the store. When loading up a new segment and using the Generic Store Component to use the data in JSONP store the Property drop-downsection does NOT load the properties that were ORIGINALLY FETCHED in the previous step.(see screenshot red box drop-down is null). 1) Why would this happen? 2) Can we type the property namein manually and assume it works? 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, This could happen if clientcontext is not registered (May be some other thread is unregistering) You can type & proceed it will work in personalization  long it is registered and valid property. But I would investigate what is causing the issue to resolve rather than assuming. Get a official suppoer help if you need to debug more. 
ims-111976fb538c5fdb0a490d4c@adobeid.com,0,Multiple addresses in customer address book implmentation,Hi All i want to have multiple addresses for a customer. And customer can set one of the addresses  'default address'. other addresses can be shipping address billing address etc. Pleaseprovide me a solution and best practice to achieve this. A demo would be really helpful. Thanks in advance. 
ims-111976fb538c5fdb0a490d4c@adobeid.com,1,Reply,  I'm working on CQ-Hybris integration the addresses and orders of the customer will be stored in Hybris server. I'm fetching it and displaying to customer. for better performance i will fetch it once and store it in user properties. Consider me  a new AEM developer can u suggest me how to create the following address book.[img]addressesDesign.png[/img] 
ims-111976fb538c5fdb0a490d4c@adobeid.com,1,Reply,i want a customer to go to his/her account where all the links are available. i want to create address book of the customer and order history where  'Oder id' will be a primary link for the order details. Please refere the attached screenshots. [img]myAccountlinks.png[/img] [img]order-history.png[/img] Though the above demos are good but of no use to me. Thanks for on time responding. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,You need to build one. You might look  [1] which is kind of todo application where you can add/delete/remove etc.. [1] https://github.com/Adobe-Marketing-Cloud/aem-sightly-sample-todomvc 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,You need to read the JCR data modelling considerations that I listed above. Setup the JCR to handle your data  described in alegi N article. Its a must read for your use case. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Of course if you are interested in persisting cust data in a relational database you can write  AEM service  well. In this case refer to http://helpx.adobe.com/experience-manager/using/querying-persisting-cq-data-mysql.html 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,The above demos are to show how to write services within AEM to persist data in either MySQL or the JCR. You use these articles when you have no idea on how to write AEM services to persist data in the JCR or a relational db. After you know how to perform these tasks move on to modelling data. In your use case you need to model data in more depth than shown in these articles. I recommend you read http://docs.adobe.com/docs/en/cq/current/developing/chap_data_modelling.html This covers data modelling considerations. Look atRule #5: References considered harmful 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,You can also develop your solution in a relational database. http://www.princeton.edu/~achaney/tmve/wiki100k/docs/Database_normalization.html In that case normalize your model  talked about in this link. For instance store order history in a separate table. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Are you looking to persist customer info in the AEM JCR. The closest community article we have for this use case is here. http://helpx.adobe.com/experience-manager/using/querying-experience-manager-data-using1.html It covers persisting and querying sample cust data. You can use the JCR API to persist cust data in the JCR. You can define node props to store cust attributes. The JCR API can be used with  AEM service  shown in this article. This article will get you started. 
ims-60c44f775212e5f00a490d4d@adobeid.com,0,How to add pdf,Hi My requirement is to add files like jpeg ppt png pdf xls zip files in to dam assets. when i select particular file it should be added into dam but i can able to store jpeg doc files but other files cannot able to store. aman will be grateful for your help. Thanks abajian .. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,You should be able to store & more details  [1]. In fact out of the box has samples of pdf etc... You general add how you are doing for jpeg doc.. [1] http://dev.day.com/docs/en/cq/current/dam/documented_platforms.html 
ims-057c00fa51c4863e0a0550b8@adobeid.com,0,Launch node url rewrites,We recently used a Launch to create a whole new site on top of another one. When we pushed the launch to production there were many urls embedded in the content that did not get converted to the production URL. Is this a known issue or is there a way to do this more robustly. I abdella t think we'll use this feature again if this is going to be the case. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Which version of aem? How did you promoted & what is status of launch? Technically if promote was successfully launch pages will move the content back into production and url will be converted. From your description looks like you have missed some part OR permission issue in workflow package and promote is not succesful. All the issue reported so far are addressed & in fact we internally use it. I won;t rule out the fact there may be niche case it might have broken i would encourage to engage with official support channel to get it fixed by attaching all the logs. 
ims-1c2c3bc752444af20a490d4d@adobeid.com,0,Custom xtype is not loading,Hi All I'm in the processof learning how to create custom widgets I have taken below one and trying to understand how this is implemented. https://helpx.adobe.com/experience-manager/using/creating-custom-xtype.html I'm seeing  issue like dialog is not initialized with widgets with default values I'm seeing below error on on browser console. ala cannot create Component: xtype 'ejstcustom' not found and no default suppliedwidgets.js:25783 createwidgets.js:88316 buildwidgets.js:109435 CQ.form.MultiField.Item.CQ.Ext.extend.constructButtonConfigwidgets.js:109411 CQ.form.MultiField.Item.CQ.Ext.extend.constructorwidgets.js:25785 createwidgets.js:30411 CQ.Ext.Container.CQ.Ext.extend.createComponentwidgets.js:30399 CQ.Ext.Container.CQ.Ext.extend.lookupComponentwidgets.js:30266 CQ.Ext.Container.CQ.Ext.extend.insertwidgets.js:109322 CQ.form.MultiField.CQ.Ext.extend.addItemwidgets.js:109179 items.push.items.handlerwidgets.js:54767 CQ.Ext.Button.CQ.Ext.extend.onClickwidgets.js:11671h Can someone help in fixing this issue. Thanks In Advance. aboytes  
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Hi aboytes It looks like you have not registered your widget with the name 'ejstcustom'. Can you share your custom widget js so that we can look  it if there are any issues. Regards 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,We are going to start packaging up code with these articles. Check and see if you have this line of code: // register xtype CQ.Ext.reg('ejstcustom' Ejst.CustomWidget); Also try restarting author instance of CQ if you do have this line of code. I will package up this code and add it to the article. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,Just tested on 5.6 and it works. [img]xtypecustom.png[/img]  i mentioned try restarting the author instance of CQ. The package will be added to the article shortly. 
ims-0bb2248d54112cad0a4c98c6@adobeid.com,0,How to download the file in the CQ5,We need to download the all extension files like pdf | txt | word |html and son on but except imagein the CQ5 thentotranslate these files in localhost.  lastupload these files back to CQ5. The question is how to know the files list path and how to get the files stored in the CQ5 to localhost or a specific server and how to upload the file to CQ5? Awaiting for anyone suggestion thanks in advance! 
ims-65017fbb5417d9fd0a4c98a4@adobeid.com,1,Reply,thank you so much. i think it is very helpful to me. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Hi York Jin Typically all assets are stored in dam and referenced in pages. Though there is exception you can store  page level. You can write  jcr query to get assets of type you need and iterate over it to get files. Thanks 
ims-65017fbb5417d9fd0a4c98a4@adobeid.com,1,Reply,Get it thank you so much. 
ims-0bb2248d54112cad0a4c98c6@adobeid.com,1,Reply,"Thanks you so much again:API ""AssetDownloadService"" is this a webservice? If false developers how to instance it? "
ims-0bb2248d54112cad0a4c98c6@adobeid.com,1,Reply,"Hi achekian Actually I'm working on a connector between AEM and a TMS(GlobalSight).I'm intrested in the downloadable files(real file nodes) in ""Digital Assets"" of AEM.I need pull these file/folder structure outside AEM to form a tree then user can decide which files to translate in GlobalSight. After translated user will push the translated file back into a selected folder in ""Digital Assets"". This is what we are expecting to archive. I'm wondering if AEM exposes any webservice APIs (SOAP or REST way methods like ""login"" ""getFiles"" ""uploadFiles"" etc.) for such case? If possible I abdella t intend to do any development work that run in AEM  a bundle this is because AEM servers are not in our control. Deploying our own bundle in client AEM servers is  extra work. All development should be in GlobalSight(login get files from AEM push file into AEM).  I'm new to AEM even Sling etc maybe you can offer a constructive suggestion about my business? Thanks a lot York "
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,To download files (for example DAM Assets) you use the QueryBuilder API. Here is a community article that talks about how to build a custom Sling Servlet that downloads DAM Assets. In this use case - the collection of DAM Assets retrieved using the QueryBuilder API is placed in a ZIP file and downloaded  shown in this pic: [img]downloadClient.png[/img] To read this development article see:http://helpx.adobe.com/experience-manager/using/downloading-dam-assets.html. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,"Another way to download a DAM asset from CQ to the desktop is write a custom Sling Servlet and in the GET method search for the file using CQ APIS ( ie - QueryBuilder) - and then write logic in the Slign Servlet to download the file: public class DownloadFileServlet extends org.apache.sling.api.servlets.SlingAllMethodsServlet{ protected void doGet(HttpServletRequest request   HttpServletResponse response) throws ServletException IOException {  // reads input file from  absolute path  //USE QUERY BUILDER TO GET FILE"";  FileInputStream inStream = new FileInputStream(downloadFile);   // if you want to use a relative path to context root:  String relativePath = getServletContext().getRealPath("""");  System.out.println(""relativePath = "" relativePath);   // obtains ServletContext  ServletContext context = getServletContext();   // gets MIME type of the file  String mimeType = context.getMimeType(filePath);  if (mimeType == null) {   // set to binary type if MIME mapping not found  mimeType = ""application/octet-stream"";  }  System.out.println(""MIME type: "" mimeType);   // modifies response  response.setContentType(mimeType);  response.setContentLength((int) downloadFile.length());   // forces download  String headerKey = ""Content-Disposition"";  String headerValue = String.format(""attachment; filename=\""%s\"""" downloadFile.getName());  response.setHeader(headerKey headerValue);   // obtains response's output stream  OutputStream outStream = response.getOutputStream();   byte[] buffer = new byte[4096];  int bytesRead = -1;   while ((bytesRead = inStream.read(buffer)) != -1) {  outStream.write(buffer 0 bytesRead);  }   inStream.close();  outStream.close();  } } "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, YorkJin wrote... hi  now i can print these assets information contain NodeType&NodeName&NodePath and so on. But i want to know how to use JCR query API to download files? Could you possibly give a sample code snippet? thank a lot.  You can use asset download service http://dev.day.com/docs/en/aem/6-0/develop/ref/javadoc/com/day/cq/dam/api/jobs/AssetDownloadService.html 
ims-4dce49c551407dfd0a490d45@adobeid.com,1,Reply,"Hi York More information on your use case would be nice (assume that you want to store files in DAM) Here's some general code that will fulfill your task: /** * Downloads file from internet and places it in DAM * @param url - the url of the file we are interested in * @param fileName - the filename of the file we are interested to store */ public void downloadAndStore(String url String fileName) { try { final URL file = new URL(url); final ReadableByteChannel readableByteChannel = Channels.newChannel(file.openStream()); final FileOutputStream fos = new FileOutputStream(""temp""); // ToDo make sure to have a unique name in case of concurrency fos.getChannel().transferFrom(readableByteChannel 0 Long.MAX_VALUE); final ResourceResolver resourceResolver = resolverFactory.getAdministrativeResourceResolver(null); final InputStream is = ..; IOUtils.copy(is fos); //Use AssetManager to place the file into the AEM DAM final AssetManager assetMgr = resourceResolver.adaptTo(AssetManager.class); final String fileToStore = ""/content/dam/"" fileName; assetMgr.createAsset(fileToStore fos ""image/jpeg"" true); // ToDo delete temp file } catch (IOException e) { //ToDo log  appropriate level } } Kindest Regards achekian "
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,I'm wondering if AEM exposes any webservice APIs (SOAP or REST way) You can write a custom Sling Servlet and then invoke that Sling Service using a Restful request. I wrote  article that shows this concept. However instead of pulling files from AEM I uploaded files using a Rest Request - the target was client libs. See this article. It will give you  idea: http://helpx.adobe.com/experience-manager/using/post_files.html  
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,AssetDownloadService is a service. one of the way to get  instance using @reference @Reference AssetDownloadServiceassetDownloadService; and then you can use this variables to access its methods. 
ims-0bb2248d54112cad0a4c98c6@adobeid.com,1,Reply,hi now i can print these assets information contain NodeType&NodeName&NodePath and so on. But i want to know how to use JCR query API to download files? Could you possibly give a sample code snippet? thank a lot. 
ims-0bb2248d54112cad0a4c98c6@adobeid.com,1,Reply,Hi achekian Many thanks for your answer. But i wondering how to get the file list path since i want to download all files except image. Looking forward to your reply. thanks a lot. 
ims-6eab65c453a28ce00a490d45@adobeid.com,0,200 Error on calling back a page using jquery,"On my page /content/site/en/stuff/all.html I have a small JQuery function. I'm trying to use it to pass a sling request back to the page to rebuild it using the sling selectors. $(""#searchText"").submit(function(){ var query = $(""#search_Text"").val(); $.post( ""/content/site/en/stuff/all."" query "".search.html""); }); If I use ""/content/site/en/stuff/all."" query "".search.html"" from<a href= ""/content/site/en/stuff/all."" query "".search.html"" ></a> the link works and the page re generates and I can use the 2 added sling selector values. But when I post from JQuery I get Content modified /content/site/en/stuff/all Status 200 Message OK Location /content/site/en/stuff/all Parent Location /content/site/en/stuff/ Path /content/site/en/stuff/all Referer http://localhost:4502/content/site/en/stuff/all.html I do not understand why the same url that works in a link fails in a post. Regards abrego Stewart "
ims-20bb14a6468d065b992016b6@adobeid.com,1,Reply,What do you see in the access.log of AEM? 
ims-6eab65c453a28ce00a490d45@adobeid.com,1,Reply,Hi I changed to $.get( but I still get the same error. Regards abrego Stewart 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Link is get method while in ajax you are doing post. Change ajax method to use get instead of post & verify $.get(... 
ims-20bb14a6468d065b992016b6@adobeid.com,1,Reply,make sure to check the access.log on AEM to validate the incoming request. It has to be a GET. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,"What is the error? r u trying in author or publish? Try below var url = CQ.HTTP.noCaching( ""/content/site/en/stuff/all."" query "".search.html"");     var response = CQ.HTTP.get(url);    if (CQ.HTTP.isOk(response)) {    var data = CQ.Util.eval(response);   } "
ims-6eab65c453a28ce00a490d45@adobeid.com,1,Reply,"Hi all thank you for your answers. I still get the same error 200. Even if I make a simple get in AJAX using JQuery and pass on no sling parameters. Basically If I have a jsp. name example.jsp.  the very top I capture any sling parameters when the page is called and use them to alter the call to  API. On it I have String selectorPath = currentPage.adaptTo(Resource.class).getResourceMetadata().getResolutionPathInfo(); String selectors[] = selectorPath.split(""\\.""); // etc rest of code left out <form method=""post"" action="""" id=""searchText""> <p> <label> Enter search terms <input type=""text"" id=""search_Text"" style=""background-color:#D3D3D3;""/> </label> </form> On a js file I have $(""#searchText"").submit(function(){ var query = $(""#search_Text"").val(); var url = '/content/example/en/example/example.' query '.html'; alert('slingUrl =' url); jQuery.ajax({  url: url  type: 'GET' }); }); I have also tried $(""#searchText"").submit(function(){ var query = $(""#search_Text"").val(); var url = CQ.HTTP.noCaching(""/content/example/en/example/example."" query "".html""); alert('slingUrl =' url); CQ.HTTP.get(url); }); However I still get back a 200 error. How does one call a page and pass back to it sling selectors from itself using JQuery. Regards abrego "
ims-3c1d2fc0537a0aca0a490d44@adobeid.com,0,Mail Configuration,Hi Is there a way by which we can attach some document or asset in amail while triggering a mail. please suggest some way how we can achieve if its possible. 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,If you mean triggering  email  part of a workflow step - you can certainly attach a document  an email attachment. You can create a custom workflow step that sends email and adds  attachment. See this community article that walks you through how to build a custom workflow step that sends email: http://helpx.adobe.com/experience-manager/using/creating-custom-aem-workflow-steps.html 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Us emailattachment api http://adobe-consulting-services.github.io/acs-aem-commons/features/email-api.html http://stackoverflow.com/questions/1610301/how-to-attach-a-file-to-an-html-email-using-apache-commons-email 
ims-3c1d2fc0537a0aca0a490d44@adobeid.com,1,Reply,  wrote... If you mean triggering  email  part of a workflow step - you can certainly attach a document  an email attachment. You can create a custom workflow step that sends email and adds  attachment. See this community article that walks you through how to build a custom workflow step that sends email: http://helpx.adobe.com/experience-manager/using/creating-custom-aem-workflow-steps.html  Hi acee Mail will be triggered to external user is it possible to trigger a mail with attachment to external user  well. 
